source_id,ra,dec,parallax,parallax_error,pmra,pmdec,visibility_periods_used,radial_velocity,radial_velocity_error,astrometric_chi2_al,ipd_gof_harmonic_amplitude,bp_rp,phot_bp_rp_excess_factor,ruwe,phot_g_mean_mag,phot_rp_mean_mag,phot_bp_mean_mag,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_n_good_obs_al,nss_solution_type,period,period_error,t_periastron,t_periastron_error,eccentricity,eccentricity_error,obj_func,goodness_of_fit,efficiency,significance,binary,p1_a0_mas,mass_function_msun,p1_omega_deg,p1_OMEGA_deg,p1_incl_deg,absolute_phot_g_mean_mag
1862136504889464192,306.95304019235664,31.915285973528764,12.035556823275314,0.033643972,-29.538028580754823,-54.30542172528066,25,-11.279882,6.076991,983.0628,0.0050398093,2.7969637,1.4591423,1.4461668,15.1537895,13.937789,16.734753,0.23844966,14.293896,False,466,Orbital,542.4071300045598,13.512046,223.77523580157617,29.636778,0.2957067202117661,0.12388595,504.99042,1.1680565,0.28873336,12.09978,1,0.44751028032506057,2.330988636009894e-05,1.6114649745876477,2.84801310096192,2.2271404042864185,39.129751536736435
1878822452815621120,337.0099840269513,24.937908077405133,16.052830363116342,0.033180892,288.7795303103289,24.058157841437307,16,-43.42891,0.26642615,1878.1697,0.02413819,1.0736141,1.2213318,1.9176155,9.758149,9.139321,10.212935,0.23674801,65.201614,True,267,OrbitalTargetedSearch,1009.3084576652012,138.47911,459.4472269644044,70.79625,0.44555607978695805,0.34303,315.34198,0.521783,0.0,12.333239,0,0.5522620441289454,5.332285119968335e-06,3.0052795776919905,3.113983371567282,1.464919325374877,35.14380707331381
1879554280883275136,333.26658292538275,24.79460978500381,12.612391866586785,0.03048187,-19.940570489500047,-15.383409929734928,15,-41.230118,2.0957627,696.12616,0.0040747453,2.4197865,1.4026113,1.5916747,14.312264,13.190204,15.60999,0.18746746,14.463461,False,293,Orbital,584.4708752241253,13.008194,253.3569894747052,21.737394,0.46116695717414646,0.16288857,322.13217,0.9498095,0.0,7.4968963,1,0.5202537193289821,2.7409929183335713e-05,1.5881219678877405,0.020005873547691788,0.8646644384189439,38.49799622239989
2002130242343487744,341.59264477667426,53.48858361097902,7.943533459429171,0.023963474,26.36198279548521,24.519793394346195,29,-6.3757277,5.8957424,1477.7771,0.017692288,2.5877514,1.4337461,1.8076702,14.147883,12.977358,15.565109,0.22147402,26.61341,False,483,Orbital,639.5625141370139,13.549827,-272.83090893990004,18.163263,0.5508195129194844,0.11711261,952.65643,9.990051,0.32604513,10.3456745,0,0.39417310543069556,3.985054141327517e-05,2.1205620481092016,2.4533310338415575,2.217490784486055,36.09408484791315
2047188847334279424,294.4962389823273,33.89350477297109,30.660019993241622,0.02482873,-98.11923056845716,51.912787324128004,29,0.0,1.1180166,2928.7024,0.016093655,0.92350054,1.2133329,1.6355618,7.2801557,6.729588,7.6530886,0.26450443,64.14232,False,456,OrbitalTargetedSearch,449.9997576028038,5.8067336,-80.4626540839173,76.24349,0.14390804258285875,0.071050376,455.85663,0.24990048,0.0,23.83953,1,0.48080848368051515,2.5407091663964733e-06,0.8472363044764288,2.899048885273687,1.9032509815686383,35.88821298098086
2052469973468984192,293.41564074205075,39.52496479259567,57.57447740279424,0.067470476,225.10098898176477,-421.32616620115186,24,-5.442873,0.5100757,20992.016,0.007754337,2.3546667,1.3955314,4.742271,10.690557,9.584441,11.939108,0.74088204,744.25354,False,371,Orbital,209.31568456899032,0.73923475,5.423410570602073,4.644838,0.4698172360130386,0.04444688,1115.9718,18.118383,0.26504493,21.506496,1,1.1385217320321155,2.3545659814500907e-05,1.9154175135971887,2.5437044370459185,2.4607761140641875,42.46845550965382
2074815898041643520,302.04083647202975,41.94155628472876,24.20917227337564,0.035977457,102.62891537564443,77.66186477984105,28,-53.719063,0.87361544,4904.107,0.0049673575,2.3936653,1.4054047,3.5465553,13.210625,12.090533,14.484199,0.40779135,157.7881,False,421,Orbital,357.7258477679834,1.2939223,39.41202474043604,2.740853,0.668550940467689,0.03358435,512.1344,2.7282321,0.0,24.968727,0,0.9466144530757524,6.232458230339828e-05,1.6522731249774192,2.151762735053384,2.2630336511844433,40.736020173640114
2104920835634141696,284.0418654763732,42.67414618517807,21.65534982283015,0.05009829,178.79630519852017,-138.16161238731132,27,0.0,1.1180166,1754.4803,0.011076369,3.2104588,1.5128453,2.0326042,15.439278,14.14344,17.353899,0.53781176,51.33135,False,366,Orbital,453.5727278061873,5.9411435,-95.52680783604859,14.466564,0.41025208143808567,0.06993986,402.72635,1.0850704,0.29104358,17.51315,1,0.8667580806258325,4.158001754540945e-05,2.653163387893781,2.9428268091935794,0.764284404136749,42.328639741776186
2117364283603705984,280.98847111763024,44.43948903945503,20.457442277943766,0.020941287,102.08702392923843,-110.09056142287679,29,-13.060715,13.7381315,1800.9,0.012293426,2.8300323,1.4653981,2.1178281,13.489458,12.265033,15.095065,0.23490345,45.68306,False,409,Orbital,392.0640591697792,3.9751089,-97.80229912544632,8.742151,0.5828237303924338,0.09728625,656.065,7.2781754,0.0,10.946222,1,0.550793186563981,1.6938621347218448e-05,0.7811095212069242,0.6256096050192473,1.8214458962366993,40.11887084320921
2259968811419624448,272.53789605764473,68.91235266469839,18.203620477342053,0.023306532,102.32511411227523,200.69945446373242,26,7.970992,2.325898,1381.1854,0.0022522467,2.6510782,1.4369953,2.0562148,13.929691,12.74824,15.399319,0.2501049,37.86008,False,349,Orbital,171.18827912879044,0.6269471,-27.0077368536746,5.3330936,0.3595929857845821,0.083929,428.9772,2.0507388,0.29113618,19.459276,1,0.4142379166786132,5.364245261165012e-05,0.3784307123400299,2.967724327191191,2.268352994615131,39.94021825485561
2277249663873880576,320.32929795461354,74.9303461331529,19.551153842822355,0.02389527,191.2898631455348,174.86167307518377,28,-27.697405,2.5799177,2805.5095,0.023230966,2.431282,1.4076593,1.9878886,12.906898,11.779146,14.210428,0.26806974,78.69736,True,359,Orbital,599.3587152699741,11.776753,-54.916934262684386,60.250736,0.18831484612646068,0.12964071,905.98145,14.187631,0.2699981,16.058159,1,0.45354007495091325,4.635927365211427e-06,1.5724200733809148,0.5200499697546058,1.6839658937782467,39.29531701179229
2367734656180397952,7.141298148778685,-16.227357052985372,28.972342936808044,0.021232903,-354.9391650530546,-227.995241429754,15,2.932551,0.1520432,1026.4829,0.036941063,1.346591,1.247022,1.2258285,9.2076025,8.467552,9.814143,0.108009316,15.932682,True,381,OrbitalTargetedSearchValidated,648.9151198887535,35.60242,-118.48114768138191,320.7854,0.2754037150006805,0.22216229,377.16733,-0.26018077,0.0,9.460223,0,0.21746352719861325,1.3397170808075157e-07,1.9940056841765768,2.152437071773772,1.400163731360942,37.55688057458209
2446599193562312320,355.5554726441637,-5.78286503850829,7.747487258874034,0.03573643,-39.879256708713925,-17.995949207857166,16,4.8411283,3.0072699,643.5994,0.015279095,2.2445602,1.375161,1.5737138,14.668134,13.596887,15.841447,0.23186283,15.626607,True,270,Orbital,854.261922051163,164.35117,-252.98402938770678,39.052055,0.4263300154050662,0.16131453,277.3306,0.08491855,0.0,7.028583,0,0.4892575783241993,4.6039269507959614e-05,0.451593659760653,0.08215997304673239,0.8814287256403694,36.50149242173961
2571855077162098944,24.46547444698127,7.98163971075571,8.727922322856985,0.031025996,100.60229419459208,-17.085952514961797,15,50.12134,3.1540828,843.95966,0.019762773,2.4476795,1.4097596,1.4495906,14.4730215,13.341124,15.788803,0.15024176,9.315731,True,421,Orbital,780.228664555089,46.8259,330.08477617846745,71.78181,0.35213996622367394,0.13196078,538.28064,3.311336,0.0,8.247316,1,0.3160514627452635,1.0405847155352544e-05,1.3550826697139993,0.6411835565990877,2.275693877650433,36.78979237796009
2603090003484152064,343.3241110018443,-14.266689393516607,214.0379888743159,0.035619885,957.7147312894218,-673.6012364809744,13,-2.085692,0.14566658,1593.4062,0.03080447,2.8092842,1.4779663,1.3398496,8.875059,7.6437206,10.453005,0.24331754,56.429905,True,205,OrbitalTargetedSearchValidated,61.36053201535001,0.22405064,-7.189614768010372,19.390203,0.1575966196274674,0.15398227,203.87497,-0.9973179,0.0,7.9483886,0,0.42601828983006507,2.793922565802236e-07,1.3660822313107053,0.07397340534746322,1.7708977341085785,47.2128921956139
